SAMPLE NUMBER:   18
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  aR     	  RV     	  RV'		  DAO     	  DAO'		
  7.02   	-18.62   	 28.93   	 254.32		  0.43   	   0.00		
  7.63   	-21.06   	 29.95   	 239.06		  0.43   	   0.00		
  8.54   	-23.19   	 30.91   	 223.80		  0.43   	   0.00		
  9.46   	-25.02   	 31.80   	 203.46		  0.43   	   0.00		
  9.46   	-25.94   	 32.61   	 183.11		  0.43   	   0.00		
  9.16   	-26.55   	 33.35   	 167.85		  0.43   	   0.00		
  8.24   	-26.55   	 34.02   	 142.42		  0.43   	   0.00		
  7.63   	-26.86   	 34.59   	 132.25		  0.43   	   5.09		
  7.02   	-27.47   	 35.12   	 111.90		  0.45   	   0.00		
  6.41   	-28.38   	 35.56   	 101.73		  0.45   	   0.00		
  5.80   	-29.60   	 35.97   	  91.56		  0.45   	   0.00		
  4.88   	-30.82   	 36.34   	  81.38		  0.45   	   0.00		
  3.97   	-31.74   	 36.66   	  81.38		  0.45   	   0.00		
  3.36   	-33.57   	 36.99   	  76.30		  0.45   	   0.00		
  3.05   	-36.32   	 37.29   	  71.21		  0.45   	   0.00		
  2.44   	-39.37   	 37.58   	  71.21		  0.45   	   5.09		
  1.83   	-42.42   	 37.86   	  76.30		  0.47   	   0.00		
  1.22   	-45.47   	 38.17   	  76.30		  0.47   	   0.00		
  0.61   	-48.52   	 38.47   	  76.30		  0.47   	   0.00		
  0.61   	-52.49   	 38.78   	  76.30		  0.47   	   0.00		
  1.22   	-56.76   	 39.08   	  76.30		  0.47   	  -5.09		
  2.75   	-60.42   	 39.39   	  81.38		  0.45   	   0.00		
  5.19   	-62.26   	 39.72   	  71.21		  0.45   	   0.00		
  9.16   	-62.56   	 40.00   	  76.30		  0.45   	   0.00		
 16.78   	-62.26   	 40.31   	  66.12		  0.45   	   0.00		
 29.30   	-65.00   	 40.57   	  61.04		  0.45   	  -5.09		
 46.69   	-69.89   	 40.81   	  55.95		  0.43   	   0.00		
 66.83   	-76.60   	 41.04   	  50.86		  0.43   	   0.00		
 84.23   	-81.48   	 41.24   	  40.69		  0.43   	   0.00		
 95.52   	-84.23   	 41.40   	  30.52		  0.43   	   0.00		
 98.88   	-86.98   	 41.53   	  20.35		  0.43   	   0.00		
 97.05   	-91.86   	 41.61   	  10.17		  0.43   	   0.00		
 92.47   	-99.49   	 41.65(S)	   0.00		  0.43   	   0.00		
 86.98   	-107.42   	 41.65   	 -10.17		  0.43   	   0.00		
 79.04   	-110.78   	 41.61   	 -20.35		  0.43   	   0.00		
 67.14   	-106.20   	 41.53   	 -35.61		  0.43   	   0.00		
 52.80   	-94.91   	 41.38   	 -40.69		  0.43   	   0.00		
 38.76   	-79.96   	 41.22   	 -61.04		  0.43   	   5.09		
 27.47   	-65.31   	 40.98   	 -66.12		  0.45   	   0.00		
 18.62   	-51.27   	 40.71   	 -86.47		  0.45   	   0.00		
  9.46   	-38.45   	 40.37   	-101.73		  0.45   	   0.00		
  0.00   	-27.47   	 39.96   	-116.99		  0.45   	   0.00		
 -8.85   	-18.01   	 39.49   	-132.25		  0.45   	   0.00		
-14.34   	-10.38   	 38.96   	-147.51		  0.45   	   0.00		
-14.65   	 -5.19   	 38.37   	-167.85		  0.45   	   0.00		
-11.60   	 -2.44   	 37.70   	-183.11		  0.45   	   0.00		
 -7.32   	 -0.92   	 36.97   	-203.46		  0.45   	   0.00		
 -3.97   	 -0.92   	 36.15   	-218.72		  0.45   	   0.00		
 -1.22   	 -1.83   	 35.28   	-228.89		  0.45   	  -5.09		
  1.53   	 -3.97   	 34.36   	-244.15		  0.43   	   0.00		
  4.88   	 -7.32   	 33.39   	-259.41		  0.43   	   0.00		
  8.54   	-10.68   	 32.35   	-264.50		  0.43   	   0.00		
 11.29   	-12.21   	 31.29   	-269.58		  0.43   	   0.00		
 12.51   	-11.90   	 30.21   	-274.67		  0.43   	   0.00		
 12.51   	-10.38   	 29.11   	-274.67		  0.43   	   0.00		
 12.51   	 -9.16   	 28.02   	-279.75		  0.43   	   0.00		
 13.12   	 -8.85   	 26.90   	-274.67		  0.43   	   0.00		
 13.73   	 -9.16   	 25.80   	-269.58		  0.43   	   5.09		
 14.65   	 -9.77   	 24.72   	-259.41		  0.45   	   0.00		
 14.95   	 -9.77   	 23.68   	-254.32		  0.45   	   0.00		
 13.12   	-10.99   	 22.67   	-244.15		  0.45   	   0.00		
  8.85   	-15.56   	 21.69   	-228.89		  0.45   	   0.00		
  3.05   	-26.86   	 20.77   	-218.72		  0.45   	   0.00		
 -1.83   	-44.86   	 19.90   	-208.54		  0.45   	   0.00		
  0.31   	-68.97   	 19.06   	-193.29		  0.45   	   0.00		
 14.34   	-97.66   	 18.29   	-178.03		  0.45   	  -5.09		
 42.42   	-128.17   	 17.58   	-157.68		  0.43   	   0.00		
 80.26   	-155.03   	 16.95   	-142.42		  0.43   	   0.00		
116.58   	-168.15   	 16.38   	-116.99		  0.43   	   0.00		
139.16   	-151.06   	 15.91   	-172.94		  0.43   	   0.00		
110.47   	 18.62   	 15.22   	 -50.86		  0.43   	   0.00		
 60.73   	155.33   	 15.02   	 -30.52		  0.43   	   0.00		
 -0.61   	283.81   	 14.89   	 -15.26		  0.43   	   0.00		
-61.65   	367.74   	 14.83(D)	  10.17		  0.43   	   0.00		
-113.53   	390.63   	 14.87(E)	  25.43		  0.43   	   0.00		
-149.23   	360.72   	 14.97   	  35.61		  0.43   	   5.09		
-165.41(R)	304.26   	 15.12   	  50.86		  0.45   	   0.00		
-161.13   	245.36   	 15.32   	  55.95		  0.45   	   0.00		
-136.11   	194.09   	 15.54   	  66.12		  0.45   	   0.00		
-95.21   	147.09   	 15.81   	  71.21		  0.45   	   0.00		
-48.52   	100.40   	 16.09   	  76.30		  0.45   	   0.00		
 -6.10   	 54.32   	 16.40   	  76.30		  0.45   	   0.00		
 23.50   	 14.95   	 16.70   	  81.38		  0.45   	   0.00		
 38.76   	-14.34   	 17.03   	  81.38		  0.45   	   0.00		
 43.64   	-32.96   	 17.35   	  81.38		  0.45   	   0.00		
 43.64   	-44.25   	 17.68   	  86.47		  0.45   	   0.00		
 43.33   	-51.27   	 18.03   	  86.47		  0.45   	   0.00		
 44.86   	-54.63   	 18.37   	  91.56		  0.45   	   0.00		
 47.30   	-55.85   	 18.74   	  96.64		  0.45   	   0.00		
 49.44   	-56.46   	 19.13   	 111.90		  0.45   	   0.00		
 50.96   	-57.37   	 19.57   	 127.16		  0.45   	   0.00		
 51.27   	-59.20   	 20.08   	 152.59		  0.45   	   0.00		
 50.66   	-61.04   	 20.69   	 172.94		  0.45   	   0.00		
 50.66   	-62.87   	 21.38   	 203.46		  0.45   	   0.00		
 50.66   	-64.09   	 22.20   	 233.98		  0.45   	   0.00		
 50.66   	-65.00   	 23.13   	 269.58		  0.45   	   0.00		
 50.35   	-65.61   	 24.21   	 300.10		  0.45   	   0.00		
 50.05   	-66.22   	 25.41   	 325.53		  0.45   	   0.00		
 50.05   	-67.14   	 26.71   	 350.97		  0.45   	   0.00		
 51.27   	-68.97   	 28.12   	 361.14		  0.45   	   0.00		
 52.80   	-70.80   	 29.56   	 366.22		  0.45   	   0.00		
 54.32   	-72.94   	 31.03   	 361.14		  0.45   	  -5.09		
 54.93   	-74.16   	 32.47   	 345.88		  0.43   	   0.00		
 54.93   	-74.16   	 33.86   	 320.45		  0.43   	   0.00		
 54.63   	-73.85   	 35.14   	 295.01		  0.43   	   0.00		
 54.63   	-73.55   	 36.32   	 259.41		  0.43   	   0.00		
 54.02   	-73.85   	 37.35   	 228.89		  0.43   	   0.00		
 53.10   	-74.16   	 38.27   	 188.20		  0.43   	   0.00		
 51.27   	-74.77   	 39.02   	 157.68		  0.43   	   0.00		
 49.74   	-75.68   	 39.65   	 127.16		  0.43   	   0.00		
 48.83   	-77.21   	 40.16   	 101.73		  0.43   	   0.00		
 49.13   	-79.65   	 40.57   	  81.38		  0.43   	   0.00		
 49.44   	-82.70   	 40.90   	  71.21		  0.43   	   0.00		
 49.44   	-85.45   	 41.18   	  50.86		  0.43   	   0.00		
 47.91   	-86.67   	 41.38   	  50.86		  0.43   	   0.00		
 45.78   	-87.89   	 41.59   	  45.78		  0.43   	   0.00		
 43.03   	-88.81   	 41.77   	  45.78		  0.43   	   0.00		
 40.28   	-90.03   	 41.95   	  45.78		  0.43   	   0.00		
 37.23   	-91.25   	 42.14   	  50.86		  0.43   	   0.00		
 34.18   	-92.47   	 42.34   	  50.86		  0.43   	   5.09		
 31.43   	-93.99   	 42.54   	  55.95		  0.45   	   0.00		
 29.60   	-95.83   	 42.77   	  50.86		  0.45   	   0.00		
 28.69   	-98.57   	 42.97   	  55.95		  0.45   	   0.00		
 28.99   	-101.32   	 43.19   	  50.86		  0.45   	   0.00		
 30.52   	-104.06   	 43.40   	  50.86		  0.45   	   0.00		
 34.48   	-106.51   	 43.60   	  40.69		  0.45   	   0.00		
 42.11   	-110.17   	 43.76   	  40.69		  0.45   	   0.00		
 52.80   	-115.05   	 43.93   	  30.52		  0.45   	   0.00		
 64.39   	-120.85   	 44.05   	  20.35		  0.45   	   0.00		
 72.33   	-126.04   	 44.13   	  20.35		  0.45   	   0.00		
 73.55   	-129.09   	 44.21   	   5.09		  0.45   	   0.00		
 68.66   	-129.09   	 44.23(S)	   0.00		  0.45   	   0.00		
 59.51   	-125.73   	 44.23   	 -10.17		  0.45   	   0.00		
 48.83   	-119.32   	 44.19   	 -15.26		  0.45   	   0.00		
 38.45   	-110.17   	 44.13   	 -25.43		  0.45   	   0.00		
 28.08   	-99.18   	 44.03   	 -35.61		  0.45   	   0.00		
 19.84   	-87.89   	 43.89   	 -45.78		  0.45   	   0.00		
 15.56   	-79.04   	 43.70   	 -55.95		  0.45   	   0.00		
 16.78   	-73.85   	 43.48   	 -71.21		  0.45   	   0.00		
 21.36   	-71.72   	 43.19   	 -76.30		  0.45   	   0.00		
 25.02   	-69.89   	 42.89   	 -96.64		  0.45   	   0.00		
 23.80   	-66.22   	 42.50   	-111.90		  0.45   	   0.00		
 17.09   	-59.51   	 42.05   	-132.25		  0.45   	  -5.09		
  8.54   	-50.66   	 41.53   	-147.51		  0.43   	   0.00		
  3.05   	-41.81   	 40.94   	-172.94		  0.43   	   0.00		
  2.75   	-34.18   	 40.24   	-188.20		  0.43   	   0.00		
  6.41   	-29.30   	 39.49   	-208.54		  0.43   	   0.00		
 10.99   	-26.86   	 38.66   	-228.89		  0.43   	   0.00		
 14.95   	-26.55   	 37.74   	-249.24		  0.43   	   0.00		
 17.70   	-28.69   	 36.74   	-264.50		  0.43   	   0.00		
 20.14   	-31.43   	 35.69   	-274.67		  0.43   	   0.00		
 21.97   	-33.87   	 34.59   	-289.93		  0.43   	   0.00		
 23.19   	-34.18   	 33.43   	-295.01		  0.43   	   0.00		
 23.50   	-32.65   	 32.25   	-305.19		  0.43   	   5.09		
 23.50   	-30.82   	 31.03   	-300.10		  0.45   	   0.00		
 23.50   	-29.60   	 29.83   	-305.19		  0.45   	   0.00		
 23.80   	-29.60   	 28.61   	-300.10		  0.45   	   0.00		
 24.11   	-29.30   	 27.41   	-300.10		  0.45   	   0.00		
 23.80   	-28.69   	 26.21   	-284.84		  0.45   	   0.00		
 23.50   	-27.77   	 25.07   	-284.84		  0.45   	   0.00		
 21.97   	-27.47   	 23.93   	-264.50		  0.45   	   0.00		
 18.92   	-29.91   	 22.87   	-259.41		  0.45   	   0.00		
 14.04   	-37.84   	 21.83   	-244.15		  0.45   	   0.00		
  9.16   	-52.49   	 20.85   	-223.80		  0.45   	   0.00		
  8.24   	-74.16   	 19.96   	-208.54		  0.45   	   0.00		
 17.09   	-102.23   	 19.13   	-193.29		  0.45   	   0.00		
 38.76   	-133.06   	 18.35   	-172.94		  0.45   	   0.00		
 72.63   	-163.57   	 17.66   	-152.59		  0.45   	   0.00		
109.25   	-184.02   	 17.05   	-127.16		  0.45   	   0.00		
136.72   	-180.97   	 16.54   	-111.90		  0.45   	   0.00		
143.43   	-137.63   	 16.09   	 -91.56		  0.45   	   0.00		
123.90   	-46.08   	 15.73   	 -66.12		  0.45   	   0.00		
 79.35   	 85.14   	 15.46   	 -50.86		  0.45   	   0.00		
 20.45   	224.61   	 15.26   	 -30.52		  0.45   	   0.00		
-41.20   	332.34   	 15.14   	 -10.17		  0.45   	   0.00		
-95.83   	382.39   	 15.10(D)	   0.00		  0.45   	   0.00		
-137.02   	372.31   	 15.10(E)	  20.35		  0.45   	   0.00		
-160.83   	323.79   	 15.18   	  25.43		  0.45   	   0.00		
-165.71(R)	263.98   	 15.28   	  40.69		  0.45   	   0.00		
-149.54   	209.05   	 15.44   	  45.78		  0.45   	   0.00		
-114.44   	160.22   	 15.63   	  55.95		  0.45   	   0.00		
-68.66   	112.61   	 15.85   	  61.04		  0.45   	   0.00		
-22.89   	 64.70   	 16.09   	  66.12		  0.45   	   0.00		
 12.21   	 21.06   	 16.36   	  71.21		  0.45   	   0.00		
 32.65   	-13.12   	 16.64   	  81.38		  0.45   	   0.00		
 40.28   	-36.32   	 16.97   	  76.30		  0.45   	  -5.09		
 40.89   	-50.66   	 17.27   	  86.47		  0.43   	   0.00		
 39.37   	-58.29   	 17.62   	  91.56		  0.43   	   0.00		
 38.76   	-61.65   	 17.99   	 101.73		  0.43   	   0.00		
 39.98   	-62.56   	 18.39   	 106.82		  0.43   	   0.00		
 42.42   	-62.87   	 18.82   	 122.07		  0.43   	   0.00		
 45.17   	-64.09   	 19.31   	 137.33		  0.43   	   0.00		
 47.00   	-65.61   	 19.86   	 157.68		  0.43   	   0.00		
 47.61   	-67.44   	 20.49   	 183.11		  0.43   	   0.00		
 47.00   	-68.36   	 21.22   	 213.63		  0.43   	   0.00		
 47.00   	-69.27   	 22.08   	 239.06		  0.43   	   0.00		
 48.52   	-70.80   	 23.03   	 269.58		  0.43   	   0.00		
 51.88   	-73.85   	 24.11   	 300.10		  0.43   	   0.00		
 55.85   	-77.21   	 25.31   	 325.53		  0.43   	   0.00		
 58.90   	-79.65   	 26.61   	 340.79		  0.43   	   0.00		
 61.04   	-80.26   	 27.98   	 356.05		  0.43   	   5.09		
 62.56   	-78.43   	 29.40   	 361.14		  0.45   	   0.00		
 64.39   	-75.68   	 30.84   	 350.97		  0.45   	   0.00		
 67.75   	-73.24   	 32.25   	 340.79		  0.45   	   0.00		
 72.63   	-71.72   	 33.61   	 315.36		  0.45   	   0.00		
 78.74   	-71.11   	 34.87   	 284.84		  0.45   	   0.00		
 85.75   	-70.80   	 36.01   	 259.41		  0.45   	   0.00		
 92.47   	-70.80   	 37.05   	 218.72		  0.45   	   0.00		
 98.57   	-72.94   	 37.92   	 188.20		  0.45   	   0.00		
103.15   	-79.04   	 38.68   	 152.59		  0.45   	   0.00		
106.51   	-90.03   	 39.29   	 122.07		  0.45   	   0.00		
108.64   	-104.98   	 39.78   	 101.73		  0.45   	   0.00		
108.64   	-119.02   	 40.18   	  76.30		  0.45   	  -5.09		
104.37   	-127.56   	 40.49   	  61.04		  0.43   	   0.00		
 94.91   	-127.56   	 40.73   	  55.95		  0.43   	   0.00		
 79.96   	-119.02   	 40.96   	  45.78		  0.43   	   0.00		
 61.34   	-104.68   	 41.14   	  40.69		  0.43   	   0.00		
 42.42   	-89.42   	 41.30   	  45.78		  0.43   	   0.00		
 26.25   	-77.21   	 41.49   	  45.78		  0.43   	   0.00		
 16.48   	-70.50   	 41.67   	  50.86		  0.43   	   0.00		
 13.12   	-69.58   	 41.87   	  50.86		  0.43   	   0.00		
 14.65   	-72.94   	 42.08   	  61.04		  0.43   	   0.00		
 17.40   	-77.51   	 42.32   	  55.95		  0.43   	   0.00		
 19.23   	-81.18   	 42.54   	  55.95		  0.43   	   0.00		
 19.23   	-83.01   	 42.77   	  55.95		  0.43   	   5.09		
 18.62   	-83.31   	 42.99   	  55.95		  0.45   	   0.00		
 20.45   	-83.62   	 43.21   	  50.86		  0.45   	   0.00		
 25.94   	-85.45   	 43.42   	  40.69		  0.45   	   0.00		
 35.71   	-89.42   	 43.58   	  40.69		  0.45   	   0.00		
 47.61   	-94.60   	 43.74   	  30.52		  0.45   	   0.00		
 58.29   	-99.79   	 43.87   	  20.35		  0.45   	   0.00		
 63.48   	-103.76   	 43.95   	  10.17		  0.45   	   0.00		
 62.26   	-105.90   	 43.99   	   5.09		  0.45   	   0.00		
 55.54   	-105.59   	 44.01(S)	  -5.09		  0.45   	   0.00		
 46.08   	-102.54   	 43.99   	 -15.26		  0.45   	   0.00		
 36.01   	-97.05   	 43.93   	 -20.35		  0.45   	   0.00		
 26.25   	-88.50   	 43.85   	 -35.61		  0.45   	   0.00		
 17.09   	-78.43   	 43.70   	 -45.78		  0.45   	   0.00		
 10.68   	-68.66   	 43.52   	 -55.95		  0.45   	   0.00		
  8.54   	-61.34   	 43.30   	 -66.12		  0.45   	  -5.09		
 11.60   	-57.37   	 43.03   	 -86.47		  0.43   	   0.00		
 16.48   	-54.63   	 42.69   	 -96.64		  0.43   	   0.00		
 17.70   	-50.66   	 42.30   	-111.90		  0.43   	   0.00		
 12.51   	-43.64   	 41.85   	-132.25		  0.43   	   5.09		
  2.14   	-33.57   	 41.32   	-157.68		  0.45   	   0.00		
 -8.54   	-21.97   	 40.69   	-172.94		  0.45   	   0.00		
-14.34   	-11.60   	 40.00   	-193.29		  0.45   	   0.00		
-13.73   	 -3.97   	 39.23   	-213.63		  0.45   	   0.00		
 -9.46   	  0.00   	 38.37   	-233.98		  0.45   	   0.00		
 -5.49   	  0.92   	 37.44   	-254.32		  0.45   	   0.00		
 -3.36   	 -0.61   	 36.42   	-269.58		  0.45   	   0.00		
 -2.75   	 -3.36   	 35.34   	-279.75		  0.45   	   0.00		
 -2.14   	 -6.71   	 34.22   	-289.93		  0.45   	   0.00		
 -0.92   	 -9.46   	 33.06   	-295.01		  0.45   	   5.09		
  0.61   	-10.68   	 31.88   	-300.10		  0.47   	  -5.09		
  1.83   	-10.99   	 30.68   	-305.19		  0.45   	   0.00		
  2.14   	-10.99   	 29.46   	-295.01		  0.45   	   0.00		
  2.14   	-11.60   	 28.28   	-300.10		  0.45   	   0.00		
  2.14   	-12.21   	 27.08   	-284.84		  0.45   	   0.00		
  1.83   	-12.51   	 25.94   	-279.75		  0.45   	   0.00		
  1.83   	-11.90   	 24.82   	-269.58		  0.45   	   0.00		
  1.83   	-11.60   	 23.74   	-254.32		  0.45   	  -5.09		
  0.92   	-12.82   	 22.73   	-239.06		  0.43   	   0.00		
 -1.22   	-18.31   	 21.77   	-223.80		  0.43   	   0.00		
 -5.19   	-28.99   	 20.87   	-208.54		  0.43   	   0.00		
 -8.24   	-46.08   	 20.04   	-193.29		  0.43   	   0.00		
 -5.49   	-69.58   	 19.27   	-172.94		  0.43   	   0.00		
  7.93   	-98.57   	 18.58   	-152.59		  0.43   	   0.00		
 34.79   	-130.31   	 17.97   	-137.33		  0.43   	   0.00		
 72.63   	-159.91   	 17.42   	-116.99		  0.43   	   0.00		
110.78   	-177.00   	 16.95   	 -96.64		  0.43   	   0.00		
137.02   	-166.02   	 16.56   	-137.33		  0.43   	   0.00		
115.36   	 -4.88   	 16.01   	 -40.69		  0.43   	   0.00		
 66.22   	135.19   	 15.85   	 -25.43		  0.43   	   0.00		
  3.66   	273.44   	 15.75   	 -10.17		  0.43   	   5.09		
-59.51   	370.48   	 15.71(D)	  10.17		  0.45   	   0.00		
-113.22   	404.36   	 15.75(E)	  20.35		  0.45   	   0.00		
-150.45   	380.25   	 15.83   	  30.52		  0.45   	   0.00		
-168.46(R)	324.40   	 15.95   	  40.69		  0.45   	   0.00		
-166.63   	263.37   	 16.11   	  50.86		  0.45   	   0.00		
-144.65   	209.96   	 16.32   	  55.95		  0.45   	   0.00		
-106.20   	162.35   	 16.54   	  61.04		  0.45   	   0.00		
-59.81   	115.66   	 16.79   	  61.04		  0.45   	   0.00		
-15.87   	 68.36   	 17.03   	  66.12		  0.45   	   0.00		
 17.40   	 25.94   	 17.29   	  61.04		  0.45   	   0.00		
 36.62   	 -7.32   	 17.54   	  66.12		  0.45   	   0.00		
 44.25   	-29.30   	 17.80   	  66.12		  0.45   	   0.00		
 45.17   	-42.72   	 18.07   	  66.12		  0.45   	   0.00		
 43.64   	-49.44   	 18.33   	  76.30		  0.45   	   0.00		
 41.81   	-51.27   	 18.64   	  76.30		  0.45   	  -5.09		
 40.89   	-50.35   	 18.94   	  91.56		  0.43   	   0.00		
 41.20   	-49.13   	 19.31   	 101.73		  0.43   	   0.00		
 42.72   	-50.05   	 19.72   	 122.07		  0.43   	   0.00		
 44.86   	-53.41   	 20.20   	 142.42		  0.43   	   0.00		
 46.69   	-57.37   	 20.77   	 167.85		  0.43   	   5.09		
 47.00   	-59.51   	 21.44   	 198.37		  0.45   	   0.00		
 46.08   	-59.20   	 22.24   	 228.89		  0.45   	   0.00		
 44.56   	-57.37   	 23.15   	 264.50		  0.45   	   0.00		
 43.33   	-55.85   	 24.21   	 289.93		  0.45   	   0.00		
 43.64   	-55.85   	 25.37   	 310.27		  0.45   	   0.00		
 44.56   	-57.37   	 26.61   	 335.71		  0.45   	   0.00		
 45.78   	-59.20   	 27.96   	 345.88		  0.45   	   0.00		
 46.08   	-59.51   	 29.34   	 350.97		  0.45   	   0.00		
 45.47   	-58.29   	 30.74   	 345.88		  0.45   	   0.00		
 44.86   	-57.07   	 32.13   	 325.53		  0.45   	   0.00		
 44.56   	-56.46   	 33.43   	 310.27		  0.45   	   0.00		
 44.56   	-57.68   	 34.67   	 284.84		  0.45   	   0.00		
 43.64   	-59.20   	 35.81   	 249.24		  0.45   	   0.00		
 41.20   	-60.12   	 36.81   	 213.63		  0.45   	  -5.09		
 37.23   	-59.81   	 37.66   	 183.11		  0.43   	   0.00		
 33.26   	-57.98   	 38.39   	 147.51		  0.43   	   0.00		
 31.13   	-56.76   	 38.98   	 122.07		  0.43   	   0.00		
 31.43   	-56.46   	 39.47   	  91.56		  0.43   	   0.00		
 32.96   	-57.68   	 39.84   	  66.12		  0.43   	   0.00		
 33.57   	-59.51   	 40.10   	  50.86		  0.43   	   0.00		
 31.43   	-60.12   	 40.31   	  40.69		  0.43   	   0.00		
 26.55   	-60.12   	 40.47   	  25.43		  0.43   	   0.00		
 21.06   	-60.12   	 40.57   	  25.43		  0.43   	   0.00		
 17.40   	-61.34   	 40.67   	  20.35		  0.43   	   0.00		
 15.87   	-64.09   	 40.75   	  15.26		  0.43   	   5.09		
 15.26   	-66.83   	 40.81   	  15.26		  0.45   	   0.00		
 14.04   	-68.97   	 40.87   	  20.35		  0.45   	   0.00		
 11.29   	-69.58   	 40.96   	  20.35		  0.45   	   0.00		
  8.24   	-69.89   	 41.04   	  15.26		  0.45   	   0.00		
  5.80   	-70.19   	 41.10   	  20.35		  0.45   	   0.00		
  4.88   	-71.41   	 41.18   	  15.26		  0.45   	   0.00		
  5.19   	-72.02   	 41.24   	  15.26		  0.45   	   0.00		
  7.32   	-72.33   	 41.30   	  10.17		  0.45   	   0.00		
 12.21   	-72.94   	 41.34   	   5.09		  0.45   	   0.00		
 20.45   	-75.07   	 41.36(S)	   0.00		  0.45   	   0.00		
 31.13   	-79.35   	 41.36   	  -5.09		  0.45   	   0.00		
 40.28   	-83.62   	 41.34   	 -10.17		  0.45   	   0.00		
 44.56   	-86.36   	 41.30   	 -15.26		  0.45   	   0.00		
 42.11   	-86.36   	 41.24   	 -25.43		  0.45   	   0.00		
 33.26   	-83.01   	 41.14   	 -35.61		  0.45   	   0.00		
 20.75   	-76.60   	 41.00   	 -40.69		  0.45   	   0.00		
  7.63   	-67.14   	 40.83   	 -50.86		  0.45   	   0.00		
 -3.66   	-55.24   	 40.63   	 -61.04		  0.45   	  -5.09		
-10.68   	-43.64   	 40.39   	 -76.30		  0.43   	   0.00		
-12.82   	-33.87   	 40.08   	 -81.38		  0.43   	   0.00		
-10.38   	-27.47   	 39.76   	-101.73		  0.43   	   0.00		
 -6.41   	-23.50   	 39.35   	-111.90		  0.43   	   0.00		
 -4.58   	-19.23   	 38.90   	-127.16		  0.43   	   0.00		
 -7.32   	-13.43   	 38.39   	-147.51		  0.43   	   0.00		
-14.04   	 -4.58   	 37.80   	-162.77		  0.43   	   0.00		
-23.19   	  6.71   	 37.15   	-178.03		  0.43   	   0.00		
-31.13   	 18.92   	 36.44   	-198.37		  0.43   	   0.00		
-35.71   	 29.91   	 35.65   	-218.72		  0.43   	   0.00		
-36.62   	 38.76   	 34.77   	-233.98		  0.43   	   0.00		
-34.79   	 43.33   	 33.84   	-254.32		  0.43   	   0.00		
-30.82   	 44.86   	 32.82   	-264.50		  0.43   	   0.00		
-25.63   	 44.25   	 31.76   	-284.84		  0.43   	   0.00		
-21.06   	 42.72   	 30.62   	-289.93		  0.43   	   5.09		
-18.92   	 42.42   	 29.46   	-305.19		  0.45   	   0.00		
-19.23   	 42.11   	 28.24   	-310.27		  0.45   	   0.00		
-20.75   	 42.42   	 27.00   	-315.36		  0.45   	   0.00		
-21.97   	 42.42   	 25.74   	-315.36		  0.45   	   0.00		
-21.67   	 42.72   	 24.48   	-315.36		  0.45   	   0.00		
-20.75   	 43.95   	 23.21   	-315.36		  0.45   	   0.00		
-20.75   	 46.69   	 21.95   	-310.27		  0.45   	   0.00		
-22.89   	 50.66   	 20.71   	-300.10		  0.45   	   0.00		
-26.25   	 54.93   	 19.51   	-295.01		  0.45   	   0.00		
-29.60   	 56.46   	 18.33   	-279.75		  0.45   	   0.00		
-32.96   	 53.71   	 17.21   	-264.50		  0.45   	   0.00		
-37.23   	 45.17   	 16.15   	-244.15		  0.45   	  -5.09		
-42.42   	 31.43   	 15.18   	-228.89		  0.43   	   0.00		
-45.78   	 13.12   	 14.26   	-198.37		  0.43   	   0.00		
-41.20   	-10.68   	 13.47   	-178.03		  0.43   	   0.00		
-23.50   	-38.76   	 12.76   	-147.51		  0.43   	   0.00		
  9.77   	-69.27   	 12.17   	-116.99		  0.43   	   0.00		
 52.19   	-94.60   	 11.70   	 -96.64		  0.43   	   0.00		
 90.64   	-100.40   	 11.31   	 -66.12		  0.43   	   0.00		
111.39   	-68.97   	 11.05   	 -66.12		  0.43   	   0.00		
 71.72   	128.78   	 10.78(D)	   0.00		  0.43   	   0.00		
 18.01   	262.15   	 10.78   	  20.35		  0.43   	   0.00		
-43.64   	372.31   	 10.86   	  35.61		  0.43   	   0.00		
-102.84   	433.04   	 11.01   	  45.78		  0.43   	   5.09		
-151.06   	438.54   	 11.19   	  55.95		  0.45   	   0.00		
-182.19   	405.27   	 11.41   	  66.12		  0.45   	   0.00		
-192.26(R)	355.83   	 11.68   	  71.21		  0.45   	   0.00		
-179.44   	305.79   	 11.96   	  76.30		  0.45   	   0.00		
-144.04   	257.87   	 12.27   	  81.38		  0.45   	   0.00		
-93.69   	209.35   	 12.59   	  76.30		  0.45   	   0.00		
-39.98   	160.83   	 12.90   	  81.38		  0.45   	   0.00		
  5.80   	115.66   	 13.22   	  76.30		  0.45   	   0.00		
 37.23   	 75.99   	 13.53   	  76.30		  0.45   	   0.00		
 54.93   	 42.11   	 13.84   	  76.30		  0.45   	   0.00		
 63.17   	 10.99   	 14.14   	  76.30		  0.45   	   0.00		
 65.92   	-17.09   	 14.45   	  76.30		  0.45   	   0.00		
 65.00   	-37.54   	 14.75   	  86.47		  0.45   	  -5.09		
 58.90   	-45.17   	 15.10   	  91.56		  0.43   	   0.00		
 47.91   	-39.67   	 15.46   	  96.64		  0.43   	   0.00		
